"Plugin","Version","Type","Category","Rule_Or_Check","File_Location","Message","Severity"
"PakCLI Table","1.0.31","Obsidian-Official-Community","General","Build verified against source.","General / Release Assets","Build verified against source.","Info"
"PakCLI Table","1.0.31","Obsidian-Official-Community","General","The main.js release asset has a verified GitHub artifact attestation.","General / Release Assets","The main.js release asset has a verified GitHub artifact attestation.","Info"
"PakCLI Table","1.0.31","Obsidian-Official-Community","General","The styles.css release asset has a verified GitHub artifact attestation.","General / Release Assets","The styles.css release asset has a verified GitHub artifact attestation.","Info"
"PakCLI Table","1.0.31","Obsidian-Official-Community","General","Vault Read: Reads individual vault files via the Obsidian API (vault.read; vault.cachedRead)","General / Release Assets","Vault Read: Reads individual vault files via the Obsidian API (vault.read; vault.cachedRead)","Info"
"PakCLI Table","1.0.31","Obsidian-Official-Community","General","Vault Write: Creates or modifies vault files via the Obsidian API (vault.modify; vault.create; etc.)","General / Release Assets","Vault Write: Creates or modifies vault files via the Obsidian API (vault.modify; vault.create; etc.)","Info"
"PakCLI Table","1.0.31","Obsidian-Official-Community","Disclosures","Number of network request calls","General / Release Assets","Number of network request calls","Info"
"PakCLI Table","1.0.31","Obsidian-Official-Community","Disclosures","Code uses runtime base64 encode or decode calls","General / Release Assets","Code uses runtime base64 encode or decode calls","Info"
"PakCLI Table","1.0.31","Obsidian-Official-Community","Disclosures","WASM module (inline WASM blob #1) exports its linear memory","General / Release Assets","WASM module (inline WASM blob #1) exports its linear memory","Info"
"PakCLI Table","1.0.31","Obsidian-Official-Community","Disclosures","Avoid !important — override styles by increasing selector specificity or using CSS variables instead.","General / Release Assets","Avoid !important — override styles by increasing selector specificity or using CSS variables instead.","Info"
"PakCLI Table","1.0.31","Obsidian-Official-Community","Disclosures","Promises must be awaited; end with a call to .catch; end with a call to .then with a rejection handler or be explicitly marked as ignored with the void operator.","General / Release Assets","Promises must be awaited; end with a call to .catch; end with a call to .then with a rejection handler or be explicitly marked as ignored with the void operator.","Info"
"PakCLI Table","1.0.31","Obsidian-Official-Community","Disclosures","This PluginSettingTab does not implement getSettingDefinitions(); its settings will not appear in Obsidian's settings search for users on 1.13.0 or later. Consider adopting the declarative settings API.","General / Release Assets","This PluginSettingTab does not implement getSettingDefinitions(); its settings will not appear in Obsidian's settings search for users on 1.13.0 or later. Consider adopting the declarative settings API.","Info"
"PakCLI Table","1.0.31","Obsidian-Official-Community","Disclosures","Unexpected browser feature ""extended-system-fonts"" is not supported by Obsidian 1.5.8","General / Release Assets","Unexpected browser feature ""extended-system-fonts"" is not supported by Obsidian 1.5.8","Info"
"PakCLI Table","1.0.31","Obsidian-Official-Community","Disclosures","Unexpected browser feature ""css-scrollbar"" is only partially supported by Obsidian 1.5.8","General / Release Assets","Unexpected browser feature ""css-scrollbar"" is only partially supported by Obsidian 1.5.8","Info"
"PakCLI Table","1.0.31","Obsidian-Official-Community","Disclosures","Unexpected browser feature ""text-decoration"" is only partially supported by Obsidian 1.5.8","General / Release Assets","Unexpected browser feature ""text-decoration"" is only partially supported by Obsidian 1.5.8","Info"
"PakCLI Table","1.0.31","Obsidian-Official-Community","Disclosures","Vault Enumeration: Enumerates all files in the vault (vault.getFiles; getMarkdownFiles; etc.). Gives the plugin access to every file path in the vault.","General / Release Assets","Vault Enumeration: Enumerates all files in the vault (vault.getFiles; getMarkdownFiles; etc.). Gives the plugin access to every file path in the vault.","Info"
"PakCLI Table","1.0.31","Obsidian-Official-Community","Disclosures","Clipboard Access: Reads or writes the system clipboard. May expose content copied from outside Obsidian.","General / Release Assets","Clipboard Access: Reads or writes the system clipboard. May expose content copied from outside Obsidian.","Info"
"PakCLI Table","1.0.31","Obsidian-Official-Community","Disclosures","Dynamic Code Execution: Executes dynamically generated code via eval() or new Function(). Prevents full static analysis of plugin behavior.","General / Release Assets","Dynamic Code Execution: Executes dynamically generated code via eval() or new Function(). Prevents full static analysis of plugin behavior.","Info"
