ID,date, time, question, answer, sample-case
1,2026-09-02,06:30:00,How to fix no-static-styles-assignment error in Obsidian plugins (setCssProps vs setCssStyles)?,"Obsidian community review flags setCssProps when used for standard inline CSS. Use setCssStyles with a camelCase object (e.g. { width: ""100%"", backgroundColor: ""var(--background-primary)"" }) for standard CSS properties, and reserve setCssProps strictly for CSS variables starting with --*. Alternatively, assign CSS classes with addClass.","el.setCssStyles({ transformOrigin: ""0 0"", border: ""1px solid var(--background-modifier-border)"" }) instead of el.setCssProps({ ""transform-origin"": ""0 0"" })"
2,2026-09-02,06:35:00,"How to satisfy the Recommendation for Missing GitHub artifact attestations for release assets (main.js, styles.css)?",GitHub artifact attestations allow users to cryptographically verify release asset provenance. Add the actions/attest-build-provenance@v2 step in your .github/workflows/release.yml GitHub Actions workflow with id-token: write and attestations: write permissions before or after release creation.,- uses: actions/attest-build-provenance@v2 with: subject-path: | dist/main.js styles.css manifest.json
3,2026-09-02,06:40:00,"Why does Obsidian review flag Vault Enumeration (vault.getFiles, getMarkdownFiles)?","Vault Enumeration is an informational Behavior disclosure in Obsidian Scorecards indicating the plugin accesses file lists. It is completely normal for note navigators, linkers, database indexers, or asset managers. Ensure this behavior is documented in README.md.",const files = this.app.vault.getMarkdownFiles(); // Normal for indexing notes in SQL database
4,2026-09-02,06:45:00,"How to handle Dynamic Code Execution (eval(), new Function()) warnings in Obsidian review?","Dynamic code execution prevents static analysis. Obsidian guidelines strictly forbid remote eval. For local user queries or SQL expressions, wrap safely or isolate within a dedicated Web Worker/sandbox with clear README disclosure.","const fn = new Function(""row"", ""return "" + expr); // Disclose in README as user formula calculator"
5,2026-09-02,06:50:00,What are the top Obsidian ESLint and Linter rules to check before submitting to Community Plugins?,"Key rules: 1) prefer-create-el (use containerEl.createDiv() instead of document.createElement), 2) window.setTimeout/window.setInterval for popout window lifecycle compatibility, 3) handle all unhandled Promises with await or void, 4) clean up all event listeners on onunload with registerEvent/registerDomEvent.","this.registerDomEvent(window, ""resize"", () => this.onResize()); window.setTimeout(() => {}, 100);"
6,2026-09-02,06:55:00,Why is a released Obsidian Community Plugin not showing in the in-app community store immediately after release?,"Obsidian Community Plugins list is cached and refreshed periodically (every 1-4 hours) by Obsidian CDN servers. When a release passes automated checks, the CDN pulls the new tag on its next crawl cycle. Force local refresh via Settings -> Community plugins -> Check for updates.",Tag 1.0.21 created -> Releases API shows green -> in-app store updates after CDN cache refresh cycle.
7,2026-09-02,07:00:00,"What do the Obsidian Plugin Scorecards (Health: Excellent, Risks, Disclosures, Warnings) mean?","Obsidian automated Scorecards evaluate plugin health across Hygiene (Readme, License), Maintenance (commits, releases), and Review (Automated scans). Disclosures are informative tags (e.g. Vault Read/Write, Base64, WASM memory). Warnings from third-party libraries (e.g. AG-Grid, Leaflet) do not block release as long as there are no red blocking security errors.","Scorecard shows Health: Excellent, 2 Passed (Vault Read/Write), Disclosures for WASM/Base64. Releases pass check-release as long as no fatal linter errors occur."
8,2026-09-02,07:05:00,"How to avoid external domain disclosures (e.g. antigravity.google, google.com, obsidian.md) in offline plugins?",Scanner searches bundle string literals for domain patterns. Replace external ping calls with native window.navigator.onLine for zero-network connectivity checks. Replace external browser URLs with internal Obsidian commands or native settings tab openers.,"const isOnline = typeof window !== ""undefined"" ? window.navigator.onLine : true; // 0 network calls, 0 domain disclosures"
9,2026-09-02,07:10:00,Why does Obsidian flag WASM module linear memory export and is it allowed?,"WASM modules (such as wa-sqlite, sql.js, or sqlite-wasm) export WebAssembly.Memory to read/write query buffers. This is completely standard and expected for client-side SQLite database engines. It is categorized as an informational Disclosure, not a blocking vulnerability.",wa-sqlite WASM engine exporting linear memory for in-vault SQLite operations.
10,2026-09-02,07:15:00,"How to handle third-party library TypeScript warnings (AG-Grid, Leaflet, SQL parser) in Obsidian plugins?","Bundled npm packages (like AG-Grid, Leaflet, CST parser) often trigger TypeScript warnings in Obsidian static scans because of any types or internal property access. Plugin developers are only required to ensure their own plugin source code (src/) is clean and does not introduce security violations.",Use skipLibCheck: true in tsconfig.json and keep src/ strictly typed with explicit interfaces.
11,2026-09-02,15:10:00,"How to fix ""X is defined but never used"" (@typescript-eslint/no-unused-vars) in Obsidian plugins?","Remove unused imports, variables, or function arguments from source files. Common offenders include leftover Obsidian API imports (App, PluginSettingTab, Setting, ButtonComponent, Notice, TFile, Platform) that were replaced or are only used as types. Prefix unavoidable unused parameters with an underscore (e.g. _req, _event) or use type imports (import type { ... }).","Replace ""import { App, Plugin, Notice, TFile } from 'obsidian'"" with ""import { App, Plugin, Notice } from 'obsidian'"" when TFile is not referenced in code."
12,2026-09-02,15:15:00,"How to resolve ""Unsafe member access on an error or any typed value"" (@typescript-eslint/no-unsafe-member-access)?","This warning occurs when accessing properties on variables inferred or typed as any (or unknown in catch blocks). Resolve by: 1) Typing catch clauses with catch (err: unknown) and type-narrowing (if (err instanceof Error)), 2) Defining explicit TypeScript interfaces for data structures instead of any, 3) Using Optional Chaining and Reflect API for dynamic lookups.",catch (err: unknown) { const msg = err instanceof Error ? err.message : String(err); console.error(msg); }
13,2026-09-02,15:20:00,"How to resolve ""Unsafe assignment of an error or any typed value"" (@typescript-eslint/no-unsafe-assignment)?","Occurs when assigning an untyped value (e.g. result of JSON.parse, dynamic API response, or library return) to a typed variable. Resolve by using explicit type casting with validation (e.g. JSON.parse(str) as ExpectedType) or declaring an interface before assigning.",const config: VaultConfig = JSON.parse(rawText) as VaultConfig; instead of let config = JSON.parse(rawText);
14,2026-09-02,15:25:00,"How to ensure Obsidian Settings Hub and Modals render properly on Mobile and Phone screens (.is-mobile, .is-phone)?","On mobile screens, 2-column master-detail layouts squeeze content. Add responsive CSS targeting @media (max-width: 768px) as well as Obsidian native body classes (.is-mobile, .is-phone). Set flex-direction: column on master-detail containers, make sidebars 100% width, enable vertical scrolling on nav bars, and allow action button bars to flex-wrap.",.is-mobile .pakcli-master-detail-layout { flex-direction: column !important; } .is-mobile .pakcli-sidebar { width: 100% !important; max-width: 100% !important; }
15,2026-09-02,15:30:00,What is the difference between Obsidian Review Risks/Disclosures vs Fatal Errors?,"Fatal Errors (red badges) such as missing release assets (main.js, styles.css), syntax errors, or no-static-styles-assignment will cause automated check-release failure. In contrast, Disclosures (external network domains, WASM memory, Vault read/write) and Warnings (TypeScript any warnings, unused vars) are informational Scorecard metrics that do not block approval.",Fix all red linter errors to pass automated check-release; document all Disclosures in README.md.
