"Version","Category","Severity","Rule_ID","Description","File_Path","Line_Numbers","Reference_Link"
"1.0.8","Source code","Error","obsidianmd/no-static-styles-assignment","Sets styles directly instead of using CSS classes, setCssProps, or setCssStyles","src/features/asciidraw/ui/AsciiCodeblockRenderer.ts, src/features/asciidraw/ui/AsciiDrawModal.ts","86, 315, 566-571, 585","https://github.com/pakcli/table/blob/011ba83e160a201dec2b77fd885fa572385b215e/src/features/asciidraw/ui/AsciiCodeblockRenderer.ts#L86"
"1.0.8","Source code","Error","obsidianmd/no-html-headings","For a consistent UI use new Setting(containerEl).setName(...).setHeading() instead of creating HTML heading elements directly.","src/features/hub/settingsHub.ts","39, 193, 206, 211, 256","https://github.com/pakcli/table/blob/011ba83e160a201dec2b77fd885fa572385b215e/src/features/hub/settingsHub.ts#L39"
"1.0.8","Source code","Error","obsidianmd/no-unsupported-api","Uses Obsidian APIs newer than the declared minAppVersion","src/features/leaflet/properties/components/iconSuggest.ts, src/features/sqlseal/modules/editor/codeblockHandler/CodeblockProcessor.ts, ReceiptScanner.tsx, sync.ts, CsvFileSyncStrategy.ts, JSONFileSyncStrategy.ts, JsonlFileSyncStrategy.ts, MarkdownTableSyncStrategy.ts, folder-suggest.ts","multiple","https://github.com/pakcli/table/blob/011ba83e160a201dec2b77fd885fa572385b215e/src/features/leaflet/properties/components/iconSuggest.ts#L10"
"1.0.8","Repository","Warning","github/issues-enabled","Repository issues are disabled on pakcli/table","repo","-","https://github.com/pakcli/table"
"1.0.8","Releases","Recommendation","github/artifact-attestations","Missing GitHub artifact attestations for release assets main.js, styles.css. Artifact attestations prove provenance.",".github/workflows/release.yml","-","https://docs.github.com/en/actions/security-for-github-actions/using-artifact-attestations"
"1.0.8","Behavior","Warning","obsidian/direct-fs-access","Direct Filesystem Access: Uses the Node.js fs module to access the filesystem outside of the Obsidian vault API.","src/utils/nodeHelpers.ts","multiple","https://github.com/pakcli/table"
"1.0.8","Behavior","Warning","obsidian/shell-execution","Shell Execution: Executes shell commands via child_process.","src/features/sqlseal/utils/process.ts","multiple","https://github.com/pakcli/table"
"1.0.8","Behavior","Recommendation","obsidian/vault-enumeration","Vault Enumeration: Enumerates all files in the vault (vault.getFiles, getMarkdownFiles).","src/features/tree/router.ts, src/features/sqlseal/modules/sync","multiple","https://github.com/pakcli/table"
"1.0.8","Behavior","Recommendation","obsidian/clipboard-access","Clipboard Access: Reads or writes the system clipboard.","src/features/tree/utils/clipboard.ts, src/features/sqlseal/components","multiple","https://github.com/pakcli/table"
"1.0.8","Behavior","Recommendation","obsidian/dynamic-code-execution","Dynamic Code Execution: Executes dynamically generated code via eval() or new Function().","src/features/sqlseal/modules/editor/sql","multiple","https://github.com/pakcli/table"
"1.0.8","Source code","Warning","obsidianmd/prefer-create-el","Uses document.createElement instead of Obsidian's createEl helpers","src/components/Table.tsx, src/features/asciidraw/ui/AsciiCodeblockRenderer.ts, AsciiDrawModal.ts, scaler.ts, markerAdd.ts, markerValue.ts, GridRenderer.ts, SchemaVisualiser.ts, TableVisualiser.ts, JsonView.ts, TableFolderRenderer.ts, TableFullRenderer.ts","multiple","https://github.com/pakcli/table"
"1.0.8","Source code","Warning","obsidian/window-request-animation-frame","Use window.requestAnimationFrame() instead of requestAnimationFrame() for popout window compatibility.","src/components/Table.tsx:520, src/features/asciidraw/core/AnimationEngine.ts:153","520, 153","https://github.com/pakcli/table"
"1.0.8","Source code","Warning","obsidian/window-set-timeout","Use window.setTimeout() instead of setTimeout() for popout window compatibility.","src/features/asciidraw/index.ts:62, AsciiCodeblockRenderer.ts:475, AsciiDrawModal.ts:922, RawEditor.tsx:56, useProgressiveLoad.ts:54","multiple","https://github.com/pakcli/table"
"1.0.8","Source code","Warning","no-alert-confirm-prompt","Unexpected window confirm or prompt dialogs used in renderer.","src/features/asciidraw/ui/AsciiCodeblockRenderer.ts:227, 347, AsciiDrawModal.ts:482, 666","227, 347, 482, 666","https://github.com/pakcli/table"
"1.0.8","Source code","Warning","@typescript-eslint/no-floating-promises","Promises must be awaited, end with a call to .catch, or be explicitly ignored with void.","src/features/asciidraw/ui/AsciiDrawModal.ts, src/features/sqlseal/components/App.tsx, Cell.tsx, Table.tsx, Editor.ts, SQLSealFileView.ts, GlobalTablesView.ts, ReceiptScanner.tsx, FileSync.ts","multiple","https://github.com/pakcli/table"
"1.0.8","Source code","Warning","@typescript-eslint/no-explicit-any","Unexpected any. Specify a different type.","src/features/asciidraw/utils/serializer.ts, settingsHub.ts, wizard.ts, leaflet/view.ts, sqlseal/components, waSqliteMemoryDatabase.ts, sqlocalWorkerDatabase.ts, CodeblockProcessor.ts, GridRenderer.ts, ReceiptScanner.tsx, DiagramRenderer.ts, router.ts, folder-suggest.ts","multiple","https://github.com/pakcli/table"
"1.0.8","Behavior","Pass","obsidian/vault-read","Reads individual vault files via the Obsidian API (vault.read, vault.cachedRead)","-","-","-"
"1.0.8","Behavior","Pass","obsidian/vault-write","Creates or modifies vault files via the Obsidian API (vault.modify, vault.create, etc.)","-","-","-"
